ident,name,latitude_deg,longitude_deg,elevation_ft
AK37,Point Mackenzie Heliport,61.247469,-150.032178,72
AK38,Providence Hospital Heliport,61.189125,-149.821855,140
AK39,South Gasline Airport,60.699567,-150.176239,381
AK40,Nixon Fork Mine Airport,63.229198455799995,-154.759994507,1510
AK41,Greg'n Sage Airport,64.544038,-146.845551,925
AK43,Jacobsen Lake Seaplane Base,61.5791015625,-149.539001465,350
AK44,Talkeetna Village Strip,62.319441,-150.113475,346
AK46,Abi Airport,61.62879943847656,-149.04299926757812,750
AK47,Shawn Field,61.58570098876953,-149.56300354003906,300
AK49,Taylor Airport,65.6792984009,-164.798995972,440
AK50,Sky Ranch At Pioneer Peak Airport,61.55459976196289,-149.1439971923828,120
AK51,Wilder/Natwick LLC Airport,60.198567,-154.322789,288
AK52,Moen's Ranch Airport,64.88890075683594,-147.53599548339844,582
AK53,Maud Road Strip Airport,61.582298,-148.996994,222
AK54,Stro's Airport,61.593299,-149.326093,340
AK55,Moose Run Airstrip,60.489429,-150.801473,290
AK56,Tikchik Lodge Seaplane Base,59.9631996155,-158.477005005,304
AK57,Long Lake Seaplane Base,61.7257003784,-150.091003418,180
AK59,King Ranch Airport,61.790695,-148.352981,1350
AK60,Fort Jensen Airport,57.884684,-157.095036,240
AK61,Stephan Lake Lodge Airport,62.69960021972656,-148.90699768066406,1900
AK62,Naukati Bay Seaplane Base,55.849602,-133.227994,0
AK63,Pat-Mar Strip,61.588600158691406,-149.14300537109375,246
AK64,Taylor Mountain Airport,60.867802,-157.391998,1000
AK65,Green's Strip,61.598068,-149.350462,300
AK66,Hunter Creek Airport,61.458296,-148.798227,100
AK67,Skid Marks Airport,61.73860168457031,-150.072998046875,64
AK68,Minuteman Strip,61.720298767089844,-150.0540008544922,290
AK69,Long Lake Airport,61.72930145263672,-150.09800720214844,200
AK72,Jewell Airport,61.7047004699707,-150.6009979248047,113
AK73,McGahan Industrial Airpark,60.723125,-151.306458,150
AK74,Kodiak Emergency/Spruce Cape Heliport,57.807899475097656,-152.35400390625,41
AK75,Candle 2 Airport,65.907699585,-161.925994873,15
AK76,East Alsek River Airport,59.126338,-138.409216,20
AK77,All West Airport,63.946809,-145.424109,1275
AK80,American Creek Airport,65.1046,-151.176,520
AK81,Amook Bay Seaplane Base,57.4715003967,-153.815002441,0
AK82,Campbell BLM Heliport,61.1561012268,-149.792007446,235
AK83,Gannon's Landing Airport,61.62730026245117,-149.60899353027344,380
AK84,Scooter's Landing Strip,60.52939987182617,-150.83099365234375,259
AK85,Birchwater Airport,61.482333,-149.763986,110
AK86,Kramer Airport,61.573539,-149.91135,150
AK87,Team Levine Heliport,61.5149002075,-149.929000854,150
AK88,Eagle Nest Airport,61.604698181152344,-149.0399932861328,416
AK89,Black Spruce Airport,61.652322,-149.875059,350
AK90,Shirley Lake Airport,61.74470138549805,-150.11500549316406,185
AK91,Elmendorf Hospital Heliport,61.235372,-149.749282,228
AK92,Martin Airport,61.638,-149.029007,820
AK93,Grouse Ridge Airport,61.65520095825195,-149.2729949951172,535
AK94,Alascom/Coastal Lena Point Heliport,58.390800476100004,-134.776992798,150
AK95,Twin Lake Airport,61.569968,-149.778671,185
AK97,Boswell Bay Airport,60.4230995178,-146.145996094,230
AK98,Buck Creek Airport,65.63870239257812,-167.48599243164062,560
AK99,Grand Home Airport,61.446667,-149.761111,85
AL05,Sehoy Airport,32.22010040283203,-85.46800231933594,331
AL07,EAMC-Lanier Heliport,32.829531,-85.168711,640
AL08,Perdido Winds Airpark,30.424400329589844,-87.5353012084961,75
AL09,Cloudmont Airpark,34.53340148925781,-85.59020233154297,1692
AL10,Frerichs Airport,34.65119934082031,-86.41690063476562,650
AL11,Baptist Medical Center Heliport,32.32749938964844,-86.27660369873047,252
AL12,Kershaw Airport,32.35850143432617,-86.125,225
AL13,Westrock - Mahrt Mill Heliport,32.172375,-85.028819,95
AL14,Whitfield Regional Hospital Heliport,32.505696,-87.83635,156
AL16,Turkey Creek Airport,33.72679901123047,-86.72360229492188,640
AL17,Lazy Eight Airpark Llc Airport,33.2340011597,-86.51300048830001,450
AL18,Parker Field,33.67620086669922,-86.86750030517578,590
AL19,Medical West Heliport,33.37155,-86.991,670
AL20,Southeast Alabama Medical Center Heliport,31.21809959411621,-85.36720275878906,314
AL21,Lakeside Heliport,33.51210021972656,-86.67749786376953,645
AL24,Rotor Wing Inc Heliport,33.6776,-86.8703,630
AL25,Spratling Field,32.242401123046875,-85.6010971069336,368
AL26,Bryant Culberson Heliport,33.20600128173828,-87.52780151367188,283
AL27,Headquarters Airport,34.1057014465332,-85.56580352783203,610
AL29,New Horizon Airport,34.12929916381836,-86.63330078125,750
AL32,Flying BK Ranch Airport,34.322601,-85.6437,670
AL33,Sturdy Oak Farm Airport,31.02519989013672,-87.58580017089844,230
AL34,Elam's Landing Airport,34.446999,-87.386101,685
AL35,Mc Ginnis Airport,30.619600296,-87.7043991089,125
AL36,The Huntsville Hospital Heliport,34.72090148925781,-86.58059692382812,728
AL37,Benedick Airport,31.555028,-85.977278,335
AL38,University of Alabama Hospital Heliport,33.50590133666992,-86.80280303955078,787
AL39,Shelby Medical Center Heliport,33.252201080322266,-86.81220245361328,510
AL41,Freedom Field,31.115999221801758,-85.62550354003906,285
AL42,Regional Medical Center Anniston Heliport,33.656068,-85.8244,844
AL43,Henley Ranch Airport,32.912027,-88.338793,200
AL44,Cullman Medical Center Heliport,34.172298431396484,-86.84359741210938,789
AL46,Shoals Creek Seaplane Base,34.9025993347168,-87.58719635009766,510
AL48,Southwest Alabama Medical Center Heliport,31.9307003021,-87.7375030518,265
AL49,Carraway Medical Center Heliport,33.5359001159668,-86.8114013671875,672
AL50,Baptist Medical Center-Princeton Heliport,33.49760055541992,-86.84639739990234,557
AL51,Flying C's Plantation Airport,32.416099548339844,-85.29920196533203,395
AL52,USA Health University Hospital Heliport,30.707988,-88.098475,28
AL53,Humana Hospital Shoals Heliport,34.74620056152344,-87.67639923095703,500
AL54,Bird Nest Airport,33.86330032348633,-87.84529876708984,420
AL55,Shields Airport,30.433936,-87.457211,95
AL58,Lower Delta Seaplane Base,30.675476,-87.959871,0
AL59,Flowers Hospital Heliport,31.237699508666992,-85.456298828125,305
AL60,Dugger's Field,33.83869934082031,-86.2114028930664,560
AL62,Striplin Airfield,31.08300018310547,-85.68350219726562,255
AL63,Walker Regional Medical Center Heliport,33.84339904785156,-87.23390197753906,418
AL65,St Vincents East Heliport,33.596972,-86.667808,1070
AL66,Alabama Power Headquarters Heliport,33.51959991455078,-86.8135986328125,676
AL69,Vaughn Private Airport,30.511838,-87.496708,30
AL71,Willow Point Airport,32.8036994934082,-85.98049926757812,551
AL74,Grimes Field,30.764400482177734,-88.30580139160156,215
AL75,Gulf State Park Seaplane Base,30.2632999420166,-87.63690185546875,0
AL76,Mayfield (Private) Airport,32.84870147705078,-86.87000274658203,495
AL77,Smart Road Airport,31.7406005859375,-86.00700378417969,425
AL78,Klumpp Airport,30.526899337768555,-87.85420227050781,111
AL79,Bartlett Ranch Airport,32.26959991455078,-86.09880065917969,305
AL82,Providence Hospital Heliport,30.679512,-88.200071,210
